caseid,srv_spend,campfin,immig_legal,immig_numb,equalpay,parleave,crimespend,death,terror_worry,minwage,healthspend,childcare,getahead,freetrade
427,5,1,2,3,1,1,3,3,9,1,2,2,2,5
428,1,1,6,7,1,1,7,1,5,4,7,7,2,4
429,5,2,2,4,1,2,2,5,9,1,2,3,2,2
430,5,1,3,4,1,1,1,1,9,1,1,2,3,2
431,2,6,4,5,4,4,4,1,2,3,7,5,4,4
432,5,4,2,4,1,2,2,2,9,1,2,3,3,4
433,1,7,2,4,4,6,2,1,9,2,7,7,3,3
434,7,1,1,2,1,1,6,7,4,1,1,1,2,2
435,4,1,4,4,1,1,2,2,3,1,7,2,2,4
436,4,4,2,3,1,1,3,3,2,1,2,3,3,5
437,1,4,4,6,4,7,4,2,9,2,7,6,3,4
438,6,1,2,4,1,1,4,5,9,1,2,2,2,5
439,2,1,4,6,1,2,3,1,1,2,7,4,2,1
440,1,1,1,4,1,4,4,1,2,2,4,3,5,7
441,2,4,4,4,1,3,3,1,9,2,4,4,2,3
442,5,2,2,3,3,1,4,7,4,1,2,2,2,3
443,3,4,6,5,1,1,4,4,1,1,7,2,1,7
444,4,6,3,7,1,5,5,3,9,1,2,4,5,5
445,3,1,2,5,1,1,5,7,1,1,4,2,3,3
446,6,1,1,1,2,2,5,7,9,1,2,2,4,6
447,1,1,2,4,1,5,1,1,1,2,3,4,4,4
448,5,1,3,5,4,3,4,2,9,3,3,4,3,4
449,1,4,7,7,4,4,7,4,3,2,4,4,1,7
450,997,4,4,6,1,2,3,2,2,1,4,4,4,6
