caseid,terror_worry,terror_12mo,terror_local,syrians_b,pc_a,pc_b
916,1,1,2,9,9,4
917,9,3,4,9,4,9
918,4,4,5,9,9,3
919,1,9,3,7,4,9
920,5,4,5,4,1,9
921,9,3,5,9,2,9
922,9,2,5,7,9,4
923,9,2,5,9,2,9
924,2,2,3,2,9,4
925,4,4,2,9,9,2
926,9,4,4,9,9,1
927,5,9,5,2,2,9
928,1,1,3,2,9,4
929,1,4,1,6,9,4
930,2,2,3,2,9,4
931,5,5,5,4,9,2
932,2,2,5,4,9,4
933,9,4,3,9,3,9
934,9,5,3,9,9,3
935,3,4,4,4,9,2
936,1,3,5,9,9,4
937,9,5,4,2,2,9
938,9,4,4,7,4,9
939,9,3,4,9,9,3
940,2,9,4,4,9,1
941,9,3,3,4,9,2
942,4,4,5,3,4,9
943,7,9,3,9,4,9
944,1,2,2,9,2,9
945,4,9,5,4,9,3
946,1,2,5,9,9,4
947,5,9,5,9,9,3
948,9,3,5,7,1,9
949,1,1,5,7,9,4
950,2,9,4,7,3,9
951,9,3,4,9,9,2
952,2,2,2,9,1,9
953,9,2,4,9,9,2
954,9,5,4,1,9,1
955,4,4,4,2,9,4
956,4,9,5,1,3,9
957,2,9,4,9,4,9
958,4,4,4,9,9,3
959,3,3,5,9,2,9
960,3,4,5,9,3,9
961,3,3,3,1,9,3
962,9,3,3,9,3,9
963,4,3,4,9,9,2
964,3,4,3,4,1,9
965,4,3,4,9,9,3
966,9,3,3,9,3,9
967,9,4,4,9,9,2
968,5,9,5,1,1,9
969,9,5,5,9,1,9
970,9,5,5,1,3,9
971,9,4,5,2,2,9
972,9,3,4,5,4,9
973,5,5,5,1,9,1
974,5,5,5,9,2,9
975,9,2,5,9,9,2
976,3,5,5,2,2,9
977,9,4,5,9,9,2
978,9,1,4,9,9,3
979,4,9,5,9,2,9
980,5,5,5,1,9,1
